system,condition,method_raw,task,paper_label,memory_level,leaf,sample_id,overall,content_coverage,citation_quality,relevance,thematic_structure,synthesis_quality,writing_quality,length_conciseness,citation_validity,citation_appropriateness,citation_coverage,citation_placement,citation_topic_consistency,path
openclaw+ds-v4-pro,sim_prompt+memory,OpenClaw + DS-v4-Pro + Memory,PaperA,PaperA,high,sim_prompt_high_memory_PaperA,sim_prompt+memory-evotest,7.11,2.69,7.31,8.21,8.17,9.0,9.0,8.37,10.0,7.88,2.67,7.12,8.12,openclaw+ds-v4-pro\sim_prompt+memory\PaperA\sim_prompt_high_memory_PaperA
openclaw+ds-v4-pro,sim_prompt+memory,OpenClaw + DS-v4-Pro + Memory,PaperA,PaperA,low,sim_prompt_low_memory_PaperA,sim_prompt+memory-evotest,6.96,4.61,6.1,10.0,7.94,7.5,9.0,8.24,8.0,5.17,5.88,5.39,5.72,openclaw+ds-v4-pro\sim_prompt+memory\PaperA\sim_prompt_low_memory_PaperA
openclaw+ds-v4-pro,sim_prompt+memory,OpenClaw + DS-v4-Pro + Memory,PaperA,PaperA,medium,sim_prompt_medium_memory_PaperA,sim_prompt+memory-evotest,7.77,6.79,8.85,9.76,2.85,9.0,9.0,8.97,10.0,9.31,6.0,9.46,9.46,openclaw+ds-v4-pro\sim_prompt+memory\PaperA\sim_prompt_medium_memory_PaperA
openclaw+ds-v4-pro,sim_prompt+memory,OpenClaw + DS-v4-Pro + Memory,PaperB,PaperB,high,sim_prompt_high_memory_PaperB,sim_prompt+memory-evotest,7.95,7.27,9.33,7.5,3.18,9.0,9.5,9.21,9.55,9.18,8.82,9.55,9.73,openclaw+ds-v4-pro\sim_prompt+memory\PaperB\sim_prompt_high_memory_PaperB
openclaw+ds-v4-pro,sim_prompt+memory,OpenClaw + DS-v4-Pro + Memory,PaperB,PaperB,low,sim_prompt_low_memory_PaperB,sim_prompt+memory-evotest,6.43,2.57,8.43,7.69,2.14,6.5,8.5,5.24,10.0,8.89,4.84,8.96,9.57,openclaw+ds-v4-pro\sim_prompt+memory\PaperB\sim_prompt_low_memory_PaperB
openclaw+ds-v4-pro,sim_prompt+memory,OpenClaw + DS-v4-Pro + Memory,PaperB,PaperB,medium,sim_prompt_medium_memory_PaperB,sim_prompt+memory-evotest,7.2,4.4,9.38,6.79,6.79,5.0,7.0,7.66,10.0,10.0,6.92,10.0,10.0,openclaw+ds-v4-pro\sim_prompt+memory\PaperB\sim_prompt_medium_memory_PaperB
openclaw+ds-v4-pro,sim_prompt+memory,OpenClaw + DS-v4-Pro + Memory,PaperC,PaperC,high,sim_prompt_high_memory_PaperC,sim_prompt+memory-evotest,8.37,7.11,8.03,10.0,8.75,8.5,9.0,9.44,10.0,8.26,4.74,8.32,8.63,openclaw+ds-v4-pro\sim_prompt+memory\PaperC\sim_prompt_high_memory_PaperC
openclaw+ds-v4-pro,sim_prompt+memory,OpenClaw + DS-v4-Pro + Memory,PaperC,PaperC,low,sim_prompt_low_memory_PaperC,sim_prompt+memory-evotest,6.89,4.38,8.31,9.48,9.18,2.5,5.5,6.32,10.0,9.79,2.4,9.0,10.0,openclaw+ds-v4-pro\sim_prompt+memory\PaperC\sim_prompt_low_memory_PaperC
openclaw+ds-v4-pro,sim_prompt+memory,OpenClaw + DS-v4-Pro + Memory,PaperC,PaperC,medium,sim_prompt_medium_memory_PaperC,sim_prompt+memory-evotest,6.73,5.0,8.36,9.52,0.0,8.0,9.0,8.35,10.0,9.06,4.0,9.5,9.44,openclaw+ds-v4-pro\sim_prompt+memory\PaperC\sim_prompt_medium_memory_PaperC
openclaw+ds-v4-pro,sim_prompt+memory,OpenClaw + DS-v4-Pro + Memory,PaperD,PaperD,high,sim_prompt_high_memory_PaperD,sim_prompt+memory-evotest,7.28,7.26,5.0,9.05,8.62,9.0,9.0,9.37,9.23,9.64,7.08,9.86,9.64,openclaw+ds-v4-pro\sim_prompt+memory\PaperD\sim_prompt_high_memory_PaperD
openclaw+ds-v4-pro,sim_prompt+memory,OpenClaw + DS-v4-Pro + Memory,PaperD,PaperD,low,sim_prompt_low_memory_PaperD,sim_prompt+memory-evotest,6.17,3.71,5.0,7.22,8.2,7.5,8.0,8.48,9.44,9.37,6.25,8.63,9.74,openclaw+ds-v4-pro\sim_prompt+memory\PaperD\sim_prompt_low_memory_PaperD
openclaw+ds-v4-pro,sim_prompt+memory,OpenClaw + DS-v4-Pro + Memory,PaperD,PaperD,medium,sim_prompt_medium_memory_PaperD,sim_prompt+memory-evotest,6.85,5.85,5.0,6.61,9.32,8.5,9.0,8.83,9.17,8.6,8.24,7.93,8.87,openclaw+ds-v4-pro\sim_prompt+memory\PaperD\sim_prompt_medium_memory_PaperD
openclaw+ds-v4-pro,sim_prompt+memory,OpenClaw + DS-v4-Pro + Memory,PaperE,PaperE,high,sim_prompt_high_memory_PaperE,sim_prompt+memory-evotest,8.48,6.39,9.62,7.5,9.43,7.0,8.5,9.03,9.55,9.86,8.95,10.0,9.91,openclaw+ds-v4-pro\sim_prompt+memory\PaperE\sim_prompt_high_memory_PaperE
openclaw+ds-v4-pro,sim_prompt+memory,OpenClaw + DS-v4-Pro + Memory,PaperE,PaperE,low,sim_prompt_low_memory_PaperE,sim_prompt+memory-evotest,6.24,0.53,8.88,7.5,7.55,3.5,8.0,4.99,10.0,9.86,4.62,10.0,10.0,openclaw+ds-v4-pro\sim_prompt+memory\PaperE\sim_prompt_low_memory_PaperE
openclaw+ds-v4-pro,sim_prompt+memory,OpenClaw + DS-v4-Pro + Memory,PaperE,PaperE,medium,sim_prompt_medium_memory_PaperE,sim_prompt+memory-evotest,7.83,4.81,8.96,8.75,9.04,6.0,8.5,7.94,10.0,10.0,4.81,10.0,10.0,openclaw+ds-v4-pro\sim_prompt+memory\PaperE\sim_prompt_medium_memory_PaperE
openclaw+ds-v4-pro,sim_prompt+skill,OpenClaw + DS-v4-Pro + Skill,PaperA,PaperA,,sim_prompt_skill_PaperA,sim_prompt+skill-evotest,7.75,4.71,8.79,8.61,7.8,7.5,8.0,8.82,9.7,10.0,4.33,10.0,10.0,openclaw+ds-v4-pro\sim_prompt+skill\sim_prompt_skill_PaperA
openclaw+ds-v4-pro,sim_prompt+skill,OpenClaw + DS-v4-Pro + Skill,PaperB,PaperB,,sim_prompt_skill_PaperB,sim_prompt+skill-evotest,7.36,4.32,8.77,8.7,7.18,6.5,8.0,7.08,9.73,9.47,5.33,9.88,9.65,openclaw+ds-v4-pro\sim_prompt+skill\sim_prompt_skill_PaperB
openclaw+ds-v4-pro,sim_prompt+skill,OpenClaw + DS-v4-Pro + Skill,PaperC,PaperC,,sim_prompt_skill_PaperC,sim_prompt+skill-evotest,7.59,3.18,8.39,9.52,9.3,8.5,8.5,6.49,9.75,9.91,2.61,9.64,10.0,openclaw+ds-v4-pro\sim_prompt+skill\sim_prompt_skill_PaperC
openclaw+ds-v4-pro,sim_prompt+skill,OpenClaw + DS-v4-Pro + Skill,PaperD,PaperD,,sim_prompt_skill_PaperD,sim_prompt+skill-evotest,8.0,4.12,9.93,6.67,8.45,7.5,8.5,8.5,9.7,10.0,10.0,10.0,10.0,openclaw+ds-v4-pro\sim_prompt+skill\sim_prompt_skill_PaperD
openclaw+ds-v4-pro,sim_prompt+skill,OpenClaw + DS-v4-Pro + Skill,PaperE,PaperE,,sim_prompt_skill_PaperE,sim_prompt-evotest,7.8,5.42,9.04,8.5,7.67,9.0,9.0,4.25,9.71,9.74,7.14,7.95,9.79,openclaw+ds-v4-pro\sim_prompt+skill\sim_prompt_skill_PaperE
openclaw+kimi-k2.6,sim_prompt,OpenClaw + Kimi-K2.6,PaperA,PaperA,,PaperA,sim_prompt-evotest,6.37,5.0,5.0,6.15,8.64,7.5,8.0,8.52,9.52,5.17,7.0,5.13,5.35,openclaw+kimi-k2.6\sim_prompt\PaperA
openclaw+kimi-k2.6,sim_prompt,OpenClaw + Kimi-K2.6,PaperB,PaperB,,PaperB,sim_prompt-evotest,6.98,3.33,8.52,9.66,7.53,5.5,7.5,8.44,10.0,9.95,2.73,10.0,9.95,openclaw+kimi-k2.6\sim_prompt\PaperB
openclaw+kimi-k2.6,sim_prompt,OpenClaw + Kimi-K2.6,PaperC,PaperC,,PaperC,sim_prompt-evotest,6.74,2.17,7.74,8.7,8.66,7.5,8.5,6.2,10.0,9.05,1.0,9.16,9.53,openclaw+kimi-k2.6\sim_prompt\PaperC
openclaw+kimi-k2.6,sim_prompt,OpenClaw + Kimi-K2.6,PaperD,PaperD,,PaperD,sim_prompt-evotest,7.07,5.62,8.78,6.19,8.08,8.0,8.0,8.75,10.0,9.31,5.71,9.38,9.44,openclaw+kimi-k2.6\sim_prompt\PaperD
openclaw+kimi-k2.6,sim_prompt,OpenClaw + Kimi-K2.6,PaperE,PaperE,,PaperE,sim_prompt-evotest,6.85,3.41,8.3,9.06,7.76,6.5,8.5,5.32,10.0,9.2,3.5,9.3,9.5,openclaw+kimi-k2.6\sim_prompt\PaperE
